,Instanz,Makespan
1723,1723,1620
1724,1724,1659
1725,1725,1654
1726,1726,1604
1727,1727,1830
1728,1728,1599
1729,1729,1581
1730,1730,1699
1731,1731,1600
1732,1732,1716
1733,1733,1736
1734,1734,1744
1735,1735,1508
1736,1736,1806
1737,1737,1688
1738,1738,1602
1739,1739,1567
1740,1740,1688
1741,1741,1643
1742,1742,1776
1743,1743,1662
1744,1744,1577
1745,1745,1654
1746,1746,1625
1747,1747,1672
1748,1748,1750
1749,1749,1671
1750,1750,1813
1751,1751,1781
1752,1752,1589
1753,1753,1694
1754,1754,1741
1755,1755,1690
1756,1756,1629
1757,1757,1658
1758,1758,1587
1759,1759,1646
1760,1760,1709
1761,1761,1657
1762,1762,1766
1763,1763,1720
1764,1764,1639
1765,1765,1741
1766,1766,1568
1767,1767,1610
1768,1768,1861
1769,1769,1630
1770,1770,1687
